-22,-88,992
-16,-96,997
-26,-99,998
-35,-92,1011
-33,-95,999
-28,-97,987
-37,-91,1005
-32,-82,1015
-36,-95,991
-47,-88,997
-47,-90,978
-47,-74,1006
-30,-85,990
-19,-84,1003
-29,-95,991
-30,-90,1016
-29,-88,1022
-40,-88,1016
-36,-97,994
-28,-93,992
-37,-76,1014
-24,-95,975
-13,-85,1001
-24,-78,1006
-26,-87,993
-32,-78,1011
-38,-77,1012
-29,-82,1004
-24,-78,1024
-25,-86,1001
-22,-84,1008
-23,-81,1006
-20,-83,1001
-23,-84,996
-19,-82,1008
-23,-84,1000
-26,-80,1010
-24,-88,990
-25,-72,1030
-17,-80,1016
-34,-79,1002
-20,-81,998
-19,-67,1025
-35,-76,995
-24,-81,999
-24,-79,995
-11,-77,1029
-18,-84,1004
-22,-80,1012
-17,-82,1009
-22,-80,1007
-25,-78,1008
-13,-86,989
-27,-76,1000
-31,-73,1001
-20,-75,1011
-29,-82,998
-16,-75,1014
-17,-78,1014
-18,-83,1000
-19,-91,972
-17,-89,999
-15,-89,1000
-22,-88,994
-31,-77,1021
-9,-93,997
